Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,Temps (s),frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_T,sd_mag_z_T,mean_acc_ms2,sd_acc_ms2,max_acc_ms2,flow_state,is_attached,lost_frames
2025-11-17 18:04:03.724,EC:69:0B:19:32:8E,27,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 5A 1D 00 00 0A 00 26 01 64 0F 64 00 00 00 00 00 00 00 00 00,7514,31,10,2.94,3940,100,0,0,0,3.94,0.1,0,0,0,3940,True,0
2025-11-17 18:04:04.723,EC:69:0B:19:32:8E,28,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 5B 1D 00 00 0A 00 26 01 62 0F 40 00 00 00 00 00 00 00 00 00,7515,32,10,2.94,3938,64,0,0,0,3.938,0.064,0,0,0,3938,True,0
2025-11-17 18:04:05.721,EC:69:0B:19:32:8E,29,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 5C 1D 00 00 0A 00 27 01 55 0E BD 01 00 00 00 00 00 00 00 00,7516,33,10,2.95,3669,445,0,0,0,3.669,0.445,0,0,0,3669,True,0
2025-11-17 18:04:06.736,EC:69:0B:19:32:8E,30,-87,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 5D 1D 00 00 0A 00 26 01 10 0A 2C 05 00 00 00 00 00 00 00 00,7517,34,10,2.94,2576,1324,0,0,0,2.576,1.324,0,0,0,2576,True,0
2025-11-17 18:04:07.738,EC:69:0B:19:32:8E,31,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 5E 1D 00 00 0A 00 26 01 61 07 34 05 00 00 00 00 00 00 00 00,7518,35,10,2.94,1889,1332,0,0,0,1.889,1.332,0,0,0,1889,True,0
2025-11-17 18:04:08.739,EC:69:0B:19:32:8E,32,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 5F 1D 00 00 0A 00 26 01 04 0B CB 04 00 00 00 00 00 00 00 00,7519,36,10,2.94,2820,1227,0,0,0,2.82,1.227,0,0,0,2820,True,0
2025-11-17 18:04:09.753,EC:69:0B:19:32:8E,33,-71,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 60 1D 00 00 0A 00 26 01 6D 09 0D 04 00 00 00 00 00 00 00 00,7520,37,10,2.94,2413,1037,0,0,0,2.413,1.037,0,0,0,2413,True,0
2025-11-17 18:04:10.756,EC:69:0B:19:32:8E,34,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 61 1D 00 00 0A 00 26 01 A6 07 FD 02 00 00 00 00 00 00 00 00,7521,38,10,2.94,1958,765,0,0,0,1.958,0.765,0,0,0,1958,True,0
2025-11-17 18:04:11.774,EC:69:0B:19:32:8E,35,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 62 1D 00 00 0A 00 26 01 91 0B E3 04 00 00 00 00 00 00 00 00,7522,39,10,2.94,2961,1251,0,0,0,2.961,1.251,0,0,0,2961,True,0
2025-11-17 18:04:12.770,EC:69:0B:19:32:8E,36,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 63 1D 00 00 0A 00 26 01 16 07 CA 04 00 00 00 00 00 00 00 00,7523,40,10,2.94,1814,1226,0,0,0,1.814,1.226,0,0,0,1814,True,0
2025-11-17 18:04:14.772,EC:69:0B:19:32:8E,37,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 65 1D 00 00 0A 00 27 01 0C 04 7C 02 00 00 00 00 00 00 00 00,7525,42,10,2.95,1036,636,0,0,0,1.036,0.636,0,0,0,1036,True,1
2025-11-17 18:04:15.791,EC:69:0B:19:32:8E,38,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 66 1D 00 00 0A 00 27 01 D8 04 B4 03 00 00 00 00 00 00 00 00,7526,43,10,2.95,1240,948,0,0,0,1.24,0.948,0,0,0,1240,True,0
2025-11-17 18:04:16.787,EC:69:0B:19:32:8E,39,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 67 1D 00 00 0A 00 26 01 7E 04 AE 02 00 00 00 00 00 00 00 00,7527,44,10,2.94,1150,686,0,0,0,1.15,0.686,0,0,0,1150,True,0
2025-11-17 18:04:17.785,EC:69:0B:19:32:8E,40,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 68 1D 00 00 0A 00 26 01 2B 05 24 04 00 00 00 00 00 00 00 00,7528,45,10,2.94,1323,1060,0,0,0,1.323,1.06,0,0,0,1323,True,0
2025-11-17 18:04:18.805,EC:69:0B:19:32:8E,41,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 69 1D 00 00 0A 00 26 01 CC 08 40 05 00 00 00 00 00 00 00 00,7529,46,10,2.94,2252,1344,0,0,0,2.252,1.344,0,0,0,2252,True,0
2025-11-17 18:04:19.803,EC:69:0B:19:32:8E,42,-79,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6A 1D 00 00 0A 00 26 01 66 03 80 03 00 00 00 00 00 00 00 00,7530,47,10,2.94,870,896,0,0,0,0.87,0.896,0,0,0,870,True,0
2025-11-17 18:04:20.821,EC:69:0B:19:32:8E,43,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6B 1D 00 00 0A 00 26 01 90 01 9F 00 00 00 00 00 00 00 00 00,7531,48,10,2.94,400,159,0,0,0,0.4,0.159,0,0,0,400,False,0
2025-11-17 18:04:21.821,EC:69:0B:19:32:8E,44,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6C 1D 00 00 0A 00 26 01 F9 04 DD 03 00 00 00 00 00 00 00 00,7532,49,10,2.94,1273,989,0,0,0,1.273,0.989,0,0,0,1273,True,0
2025-11-17 18:04:22.835,EC:69:0B:19:32:8E,45,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6D 1D 00 00 0A 00 26 01 66 05 6D 04 00 00 00 00 00 00 00 00,7533,50,10,2.94,1382,1133,0,0,0,1.382,1.133,0,0,0,1382,True,0
2025-11-17 18:04:23.836,EC:69:0B:19:32:8E,46,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6E 1D 00 00 0A 00 27 01 4A 06 EA 02 00 00 00 00 00 00 00 00,7534,51,10,2.95,1610,746,0,0,0,1.61,0.746,0,0,0,1610,True,0
2025-11-17 18:04:24.841,EC:69:0B:19:32:8E,47,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 6F 1D 00 00 0A 00 26 01 7B 07 07 04 00 00 00 00 00 00 00 00,7535,52,10,2.94,1915,1031,0,0,0,1.915,1.031,0,0,0,1915,True,0
2025-11-17 18:04:25.854,EC:69:0B:19:32:8E,48,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 70 1D 00 00 0A 00 26 01 3E 0B EA 03 00 00 00 00 00 00 00 00,7536,53,10,2.94,2878,1002,0,0,0,2.878,1.002,0,0,0,2878,True,0
2025-11-17 18:04:26.856,EC:69:0B:19:32:8E,49,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 71 1D 00 00 0A 00 26 01 00 07 5E 03 00 00 00 00 00 00 00 00,7537,54,10,2.94,1792,862,0,0,0,1.792,0.862,0,0,0,1792,True,0
2025-11-17 18:04:27.855,EC:69:0B:19:32:8E,50,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 72 1D 00 00 0A 00 26 01 D7 04 E2 02 00 00 00 00 00 00 00 00,7538,55,10,2.94,1239,738,0,0,0,1.239,0.738,0,0,0,1239,True,0
2025-11-17 18:04:28.855,EC:69:0B:19:32:8E,51,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 73 1D 00 00 0A 00 26 01 87 06 C0 04 00 00 00 00 00 00 00 00,7539,56,10,2.94,1671,1216,0,0,0,1.671,1.216,0,0,0,1671,True,0
2025-11-17 18:04:29.855,EC:69:0B:19:32:8E,52,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 74 1D 00 00 0A 00 26 01 A1 06 28 05 00 00 00 00 00 00 00 00,7540,57,10,2.94,1697,1320,0,0,0,1.697,1.32,0,0,0,1697,True,0
2025-11-17 18:04:30.872,EC:69:0B:19:32:8E,53,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 75 1D 00 00 0A 00 26 01 30 04 22 04 00 00 00 00 00 00 00 00,7541,58,10,2.94,1072,1058,0,0,0,1.072,1.058,0,0,0,1072,True,0
2025-11-17 18:04:31.871,EC:69:0B:19:32:8E,54,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 76 1D 00 00 0A 00 26 01 B0 09 D1 03 00 00 00 00 00 00 00 00,7542,59,10,2.94,2480,977,0,0,0,2.48,0.977,0,0,0,2480,True,0
2025-11-17 18:04:32.874,EC:69:0B:19:32:8E,55,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 77 1D 00 00 0A 00 26 01 08 0E 18 01 00 00 00 00 00 00 00 00,7543,60,10,2.94,3592,280,0,0,0,3.592,0.28,0,0,0,3592,True,0
2025-11-17 18:04:33.873,EC:69:0B:19:32:8E,56,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 78 1D 00 00 0A 00 27 01 79 0D B8 01 00 00 00 00 00 00 00 00,7544,61,10,2.95,3449,440,0,0,0,3.449,0.44,0,0,0,3449,True,0
2025-11-17 18:04:34.888,EC:69:0B:19:32:8E,57,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 79 1D 00 00 0A 00 26 01 EC 0E 6D 00 00 00 00 00 00 00 00 00,7545,62,10,2.94,3820,109,0,0,0,3.82,0.109,0,0,0,3820,True,0
2025-11-17 18:04:35.886,EC:69:0B:19:32:8E,58,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7A 1D 00 00 0A 00 27 01 31 0F 35 00 00 00 00 00 00 00 00 00,7546,63,10,2.95,3889,53,0,0,0,3.889,0.053,0,0,0,3889,True,0
2025-11-17 18:04:36.891,EC:69:0B:19:32:8E,59,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7B 1D 00 00 0A 00 27 01 49 0F 2E 00 00 00 00 00 00 00 00 00,7547,64,10,2.95,3913,46,0,0,0,3.913,0.046,0,0,0,3913,True,0
2025-11-17 18:04:37.906,EC:69:0B:19:32:8E,60,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7C 1D 00 00 0A 00 26 01 31 0F 4F 00 00 00 00 00 00 00 00 00,7548,65,10,2.94,3889,79,0,0,0,3.889,0.079,0,0,0,3889,True,0
2025-11-17 18:04:38.905,EC:69:0B:19:32:8E,61,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7D 1D 00 00 0A 00 26 01 F7 0E 65 00 00 00 00 00 00 00 00 00,7549,66,10,2.94,3831,101,0,0,0,3.831,0.101,0,0,0,3831,True,0
2025-11-17 18:04:39.924,EC:69:0B:19:32:8E,62,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7E 1D 00 00 0A 00 26 01 23 0F 3F 00 00 00 00 00 00 00 00 00,7550,67,10,2.94,3875,63,0,0,0,3.875,0.063,0,0,0,3875,True,0
2025-11-17 18:04:40.921,EC:69:0B:19:32:8E,63,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 7F 1D 00 00 0A 00 26 01 0C 0F 4D 00 00 00 00 00 00 00 00 00,7551,68,10,2.94,3852,77,0,0,0,3.852,0.077,0,0,0,3852,True,0
