Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_T,sd_mag_z_T,mean_acc_ms2,sd_acc_ms2,max_acc_ms2,flow_state,is_attached,lost_frames
2025-11-17 18:00:35.704,EC:69:0B:19:32:8E,27,-78,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 8A 1C 00 00 0A 00 26 01 54 0E 3E 00 00 00 00 00 00 00 00 00,7306,10,2.94,3668,62,0,0,0,3.668,0.062,0.0,0.0,0.0,3668,True,1
2025-11-17 18:00:37.704,EC:69:0B:19:32:8E,28,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 8C 1C 00 00 0A 00 26 01 EA 0D 5E 00 00 00 00 00 00 00 00 00,7308,10,2.94,3562,94,0,0,0,3.562,0.094,0.0,0.0,0.0,3562,True,1
2025-11-17 18:00:38.703,EC:69:0B:19:32:8E,29,-71,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 8D 1C 00 00 0A 00 26 01 37 0E 4B 00 00 00 00 00 00 00 00 00,7309,10,2.94,3639,75,0,0,0,3.639,0.075,0.0,0.0,0.0,3639,True,0
2025-11-17 18:00:41.726,EC:69:0B:19:32:8E,30,-78,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 90 1C 00 00 0A 00 26 01 37 0D 95 00 00 00 00 00 00 00 00 00,7312,10,2.94,3383,149,0,0,0,3.383,0.149,0.0,0.0,0.0,3383,True,2
2025-11-17 18:00:42.736,EC:69:0B:19:32:8E,31,-96,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 91 1C 00 00 0A 00 26 01 77 0D 1F 01 00 00 00 00 00 00 00 00,7313,10,2.94,3447,287,0,0,0,3.447,0.287,0.0,0.0,0.0,3447,True,0
2025-11-17 18:00:43.734,EC:69:0B:19:32:8E,32,-84,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 92 1C 00 00 0A 00 26 01 AF 0D 49 00 00 00 00 00 00 00 00 00,7314,10,2.94,3503,73,0,0,0,3.503,0.073,0.0,0.0,0.0,3503,True,0
2025-11-17 18:00:44.753,EC:69:0B:19:32:8E,33,-83,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 93 1C 00 00 0A 00 26 01 70 0E 5B 00 00 00 00 00 00 00 00 00,7315,10,2.94,3696,91,0,0,0,3.696,0.091,0.0,0.0,0.0,3696,True,0
2025-11-17 18:00:46.750,EC:69:0B:19:32:8E,34,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 95 1C 00 00 0A 00 26 01 61 0E 46 00 00 00 00 00 00 00 00 00,7317,10,2.94,3681,70,0,0,0,3.681,0.07,0.0,0.0,0.0,3681,True,1
2025-11-17 18:00:47.768,EC:69:0B:19:32:8E,35,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 96 1C 00 00 0A 00 26 01 E9 0D 58 00 00 00 00 00 00 00 00 00,7318,10,2.94,3561,88,0,0,0,3.561,0.088,0.0,0.0,0.0,3561,True,0
2025-11-17 18:00:48.768,EC:69:0B:19:32:8E,36,-74,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 97 1C 00 00 0A 00 26 01 61 0E 55 00 00 00 00 00 00 00 00 00,7319,10,2.94,3681,85,0,0,0,3.681,0.085,0.0,0.0,0.0,3681,True,0
2025-11-17 18:00:49.771,EC:69:0B:19:32:8E,37,-70,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 98 1C 00 00 0A 00 26 01 13 0E 5E 00 00 00 00 00 00 00 00 00,7320,10,2.94,3603,94,0,0,0,3.603,0.094,0.0,0.0,0.0,3603,True,0
2025-11-17 18:00:52.785,EC:69:0B:19:32:8E,38,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9B 1C 00 00 0A 00 27 01 7F 0E 41 00 00 00 00 00 00 00 00 00,7323,10,2.95,3711,65,0,0,0,3.711,0.065,0.0,0.0,0.0,3711,True,2
