Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data
2025-11-17 18:00:37.704,EC:69:0B:19:32:8E,28,-73,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 8C 1C 00 00 0A 00 26 01 EA 0D 5E 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:38.703,EC:69:0B:19:32:8E,29,-71,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 8D 1C 00 00 0A 00 26 01 37 0E 4B 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:41.726,EC:69:0B:19:32:8E,30,-78,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 90 1C 00 00 0A 00 26 01 37 0D 95 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:42.736,EC:69:0B:19:32:8E,31,-96,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 91 1C 00 00 0A 00 26 01 77 0D 1F 01 00 00 00 00 00 00 00 00"
2025-11-17 18:00:43.734,EC:69:0B:19:32:8E,32,-84,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 92 1C 00 00 0A 00 26 01 AF 0D 49 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:44.753,EC:69:0B:19:32:8E,33,-83,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 93 1C 00 00 0A 00 26 01 70 0E 5B 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:46.750,EC:69:0B:19:32:8E,34,-69,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 95 1C 00 00 0A 00 26 01 61 0E 46 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:47.768,EC:69:0B:19:32:8E,35,-68,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 96 1C 00 00 0A 00 26 01 E9 0D 58 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:48.768,EC:69:0B:19:32:8E,36,-74,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 97 1C 00 00 0A 00 26 01 61 0E 55 00 00 00 00 00 00 00 00 00"
2025-11-17 18:00:49.771,EC:69:0B:19:32:8E,37,-70,46,"02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 98 1C 00 00 0A 00 26 01 13 0E 5E 00 00 00 00 00 00 00 00 00"
