Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_mt,sd_mag_z_mt,mean_acc_g,sd_acc_g,max_acc_g,flow_state,is_attached,lost_frames
2025-11-17 17:45:38.324,EC:69:0B:19:32:8E,94,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 09 19 00 00 0A 00 26 01 C0 02 1E 01 00 00 00 00 00 00 00 00,6409,10,9.728,-16383,7682,1,0,0,-16.383,7.682,0.001,0.0,0.0,16383,True,0
2025-11-17 17:45:39.326,EC:69:0B:19:32:8E,95,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 0A 19 00 00 0A 00 26 01 73 04 4B 01 00 00 00 00 00 00 00 00,6410,10,9.728,29441,19204,1,0,0,29.441,19.204,0.001,0.0,0.0,29441,True,0
2025-11-17 17:45:40.325,EC:69:0B:19:32:8E,96,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 0B 19 00 00 0A 00 26 01 DC 0D C5 00 00 00 00 00 00 00 00 00,6411,10,9.728,-9215,-15091,0,0,0,-9.215,-15.091,0.0,0.0,0.0,9215,True,0
2025-11-17 17:45:41.340,EC:69:0B:19:32:8E,97,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 0C 19 00 00 0A 00 26 01 DE 0D 5A 00 00 00 00 00 00 00 00 00,6412,10,9.728,-8703,23053,0,0,0,-8.703,23.053,0.0,0.0,0.0,8703,True,0
2025-11-17 17:45:42.341,EC:69:0B:19:32:8E,98,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 0D 19 00 00 0A 00 26 01 03 0D 9E 02 00 00 00 00 00 00 00 00,6413,10,9.728,769,-25075,2,0,0,0.769,-25.075,0.002,0.0,0.0,769,True,0
2025-11-17 17:45:43.339,EC:69:0B:19:32:8E,99,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 0E 19 00 00 0A 00 26 01 B3 0C FC 01 00 00 00 00 00 00 00 00,6414,10,9.728,-19711,-1012,1,0,0,-19.711,-1.012,0.001,0.0,0.0,19711,True,0
2025-11-17 17:45:44.341,EC:69:0B:19:32:8E,100,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 0F 19 00 00 0A 00 26 01 FB 0D E8 00 00 00 00 00 00 00 00 00,6415,10,9.728,-1279,-6131,0,0,0,-1.279,-6.131,0.0,0.0,0.0,1279,True,0
2025-11-17 17:45:45.340,EC:69:0B:19:32:8E,101,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 10 19 00 00 0A 00 26 01 E8 0D 7B 00 00 00 00 00 00 00 00 00,6416,10,9.728,-6143,31501,0,0,0,-6.143,31.501,0.0,0.0,0.0,6143,True,0
2025-11-17 17:45:46.341,EC:69:0B:19:32:8E,102,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 11 19 00 00 0A 00 26 01 F8 0B 88 03 00 00 00 00 00 00 00 00,6417,10,9.728,-2047,-30709,3,0,0,-2.047,-30.709,0.003,0.0,0.0,2047,True,0
2025-11-17 17:45:47.338,EC:69:0B:19:32:8E,103,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 12 19 00 00 0A 00 26 01 51 0E 5B 00 00 00 00 00 00 00 00 00,6418,10,9.728,20737,23310,0,0,0,20.737,23.31,0.0,0.0,0.0,20737,True,0
2025-11-17 17:45:49.348,EC:69:0B:19:32:8E,104,-74,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 14 19 00 00 0A 00 26 01 A6 0D 57 01 00 00 00 00 00 00 00 00,6420,10,9.728,-23039,22285,1,0,0,-23.039,22.285,0.001,0.0,0.0,23039,True,1
2025-11-17 17:45:51.364,EC:69:0B:19:32:8E,105,-82,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 16 19 00 00 0A 00 26 01 C9 0D CA 00 00 00 00 00 00 00 00 00,6422,10,9.728,-14079,-13811,0,0,0,-14.079,-13.811,0.0,0.0,0.0,14079,True,1
2025-11-17 17:45:52.391,EC:69:0B:19:32:8E,106,-73,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 17 19 00 00 0A 00 26 01 15 0E 49 00 00 00 00 00 00 00 00 00,6423,10,9.728,5377,18702,0,0,0,5.377,18.702,0.0,0.0,0.0,5377,True,0
2025-11-17 17:45:53.392,EC:69:0B:19:32:8E,107,-79,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 18 19 00 00 0A 00 26 01 2C 0E 8A 00 00 00 00 00 00 00 00 00,6424,10,9.728,11265,-30194,0,0,0,11.265,-30.194,0.0,0.0,0.0,11265,True,0
